mu_self,h_hb,h_int,e_dielec,area,sigma_m2,sigma_m3,sigma_m4,sigma_m5,sigma_m6,volume,avratio,hbacc_m1,hbacc_m2,hbacc_m3,hbacc_m4,hbdon_m1,hbdon_m2,hbdon_m3,hbdon_m4,molweight,ringbonds,alkylatoms,alkylgroups,rotatable_bonds,internal_hbonds,conjugated_bonds,rotbsdmod,tmult,nbr11,rbwring,fragments,zwitterion_in_water,n_exp
-4.30552,-0.49135,-5.3202,-5.7545,131.4257,39.6673,23.2935,37.4143,38.8794,50.4444,117.1809,1.12156247,0.0275,2.9073,0.8865,0.11,0,0,0,0,88.11,0,3,2,2,0,1,1.5,0,0,0,2,0,1.3775
-5.00051,-0.36448,-6.16836,-5.5544,151.6067,39.2979,25.504,37.7478,40.774,51.6146,138.0306,1.09835573,0.0284,2.9959,0.9072,0.11,0,0,0,0,102.13,0,4,2,3,0,1,2.5,0,0,0,0,0,1.3839
-4.6255,-5.71535,-9.38232,-5.2857,88.5829,40.19,12.4392,66.2531,26.6534,132.8706,69.7309,1.2703536,0.0389,3.9416,2.0402,0.7189,-0.0215,2.1761,1.0725,0.3795,46.07,0,2,1,1,0,0,1,0,0,0,0,0,1.3611
-4.67131,0,-4.85263,-2.6475,98.0019,16.7179,1.554,5.0516,0.8801,1.7958,80.8367,1.21234415,0,0,0,0,0,0,0,0,64.51,0,2,1,0,0,0,0,0,0,0,0,0,1.3676
-2.67096,-0.78174,-3.52429,-7.6293,102.7592,38.8013,15.6502,32.8358,25.7977,38.2144,83.9277,1.22437765,0.017,1.9294,0.5611,0.0698,0,0.002,0,0,55.08,0,2,1,0,0,1,0,0,0,0,0,0,1.3655
-4.17178,-0.61056,-5.43855,-6.3162,134.7721,43.9409,27.2378,43.5938,45.7501,60.3541,117.7498,1.1445633,0.0324,3.3931,1.091,0.1647,0,0,0,0,88.11,0,3,2,2,0,1,1.75,0,0,0,0,0,1.3723
-6.17027,-0.00232,-6.89032,-2.9404,159.6564,21.3849,2.4088,5.5896,1.3898,1.8716,152.6384,1.04597795,0,0,0,0,0,0,0,0,106.17,6,2,1,1,0,6,0.75,0.46,0,0,0,0,1.4959
-6.64661,-0.01329,-7.56986,-3.0964,173.8385,22.2271,3.5865,6.1944,2.2873,2.3705,171.951,1.01097696,0,0,0,0,0,0,0,0,120.19,6,3,2,1,0,6,0.75,0,0,0,0,0,1.5046
-5.26759,-0.04889,-5.56741,-2.8742,131.1275,21.6682,18.2237,25.6596,32.9807,44.5496,113.459,1.15572586,0.0232,2.3763,1.0002,0.2488,0,0,0,0,74.12,0,4,2,2,0,0,2,0.61,2,0,0,0,1.3526
-6.10112,-0.32866,-7.87306,-6.2391,192.7353,42.4431,26.1122,39.2734,41.8916,53.5284,179.7651,1.07215082,0.0292,3.052,0.935,0.1286,0,0,0,0,130.19,0,6,2,5,0,1,4.5,0,1,0,2,0,1.4014
-7.91612,-0.01984,-9.36346,-3.1015,209.9905,23.6178,18.9369,26.2199,33.7849,45.5381,196.2437,1.07004964,0.024,2.4485,1.0338,0.2483,0,0,0,0,130.23,0,8,2,6,0,0,6,0,5,0,3,0,1.4008
-4.89619,-0.35061,-6.01846,-5.6202,150.4965,39.6102,25.6135,37.5107,40.1975,50.3545,137.9486,1.09096069,0.0273,2.9304,0.8433,0.097,0,0,0,0,102.13,0,4,2,2,0,1,1.25,0.31,0,0,0,0,1.384
-5.57569,-0.24897,-6.86367,-5.6648,171.0497,39.5181,26.6383,37.3672,41.1739,50.8332,158.8905,1.07652566,0.0281,2.9877,0.8665,0.0968,0,0,0,0,116.16,0,5,2,3,0,1,2.25,0.28,0,0,0,0,1.3869
